Timestamp, °C, %RH,
15/12/2017 11:23,23.2,42.5,
15/12/2017 11:24,23.2,42.6,
15/12/2017 11:25,23.2,42.2,
15/12/2017 11:26,23.2,42.2,
15/12/2017 11:27,23.1,42.4,
15/12/2017 11:28,23.1,42.3,
15/12/2017 11:29,23.1,42.2,
15/12/2017 11:30,23.1,42.3,
15/12/2017 11:31,23.1,42.3,
15/12/2017 11:32,23.1,42.4,
15/12/2017 11:33,23,42.2,
15/12/2017 11:34,23,42.3,
15/12/2017 11:35,23,42,
15/12/2017 11:36,23,42.4,
15/12/2017 11:37,23,41.9,
15/12/2017 11:38,23,42.3,
15/12/2017 11:39,23,42,
15/12/2017 11:40,23,41.9,
15/12/2017 11:41,22.9,42.1,
15/12/2017 11:42,22.9,42,
15/12/2017 11:43,22.9,42.1,
15/12/2017 11:44,22.9,42,
15/12/2017 11:45,22.9,41.9,
15/12/2017 11:46,22.9,42,
15/12/2017 11:47,22.9,42,
15/12/2017 11:48,22.9,41.9,
15/12/2017 11:49,22.8,41.8,
15/12/2017 11:50,22.8,42.3,
15/12/2017 11:51,22.8,41.9,
15/12/2017 11:52,22.8,42.2,
15/12/2017 11:53,22.8,42.3,
15/12/2017 11:54,22.8,42.3,
15/12/2017 11:55,22.8,42.2,
15/12/2017 11:56,22.8,42.3,
15/12/2017 11:57,22.8,41.9,
15/12/2017 11:58,22.7,42.1,
15/12/2017 11:59,22.7,42.5,
15/12/2017 12:00,22.7,42.1,
15/12/2017 12:01,22.7,42.1,
15/12/2017 12:02,22.7,42.7,
15/12/2017 12:03,22.7,42.5,
15/12/2017 12:04,22.7,44.6,
15/12/2017 12:05,22.8,43.3,
15/12/2017 12:06,22.8,43,
15/12/2017 12:07,22.8,42.9,
15/12/2017 12:08,22.9,42.8,
